"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Imprese - lavoratori esterni"
"FORMGIUR","CL_FORMGIUR","Imprese - lavoratori esterni"
"PAESE_NASC","CL_ISO","Imprese - lavoratori esterni"
"ITTER107","CL_ITTER107","Imprese - lavoratori esterni"
"TIPO_LAVES","CL_PROFILO_PROF","Imprese - lavoratori esterni"
"SESSO","CL_SEXISTAT1","Imprese - lavoratori esterni"
"IMPR_CONDIP","CL_SI_NO","Imprese - lavoratori esterni"
"TIPO_DATO","CL_TIPO_DATO_CIS","Imprese - lavoratori esterni"
"ATECO_2007","CL_ATECO_2007","Imprese - lavoratori esterni"
"ADDETTI","CL_CLLVT","Imprese - lavoratori esterni"
"CLASSE_ETA","CL_ETA1","Imprese - lavoratori esterni"
"CLASSE_ETA_IMPR","CL_ETA1","Imprese - lavoratori esterni"
